,negative,anticipation,anger,surprise,positive,fear,sadness,disgust,trust,joy
641,1.0,,,,1.0,,,,,
642,,,,,,,,,,
643,,,,,2.0,,,,2.0,
644,,,,,2.0,,,,2.0,
645,,,,,1.0,,,,1.0,
646,,2.0,,1.0,1.0,,,,1.0,1.0
647,,1.0,,,,,,,,
648,1.0,,1.0,,,,,,,
649,1.0,1.0,,,,1.0,,,,
650,1.0,,2.0,,,1.0,,,,
651,1.0,,2.0,,,1.0,,,,
652,,1.0,,1.0,2.0,,,,1.0,1.0
653,1.0,1.0,,,1.0,,,,1.0,
654,1.0,1.0,,,1.0,,,,1.0,
655,,,1.0,,,,,,,
656,,,,,,,,,,
657,1.0,1.0,1.0,,,1.0,,,,
658,,,,,,,,,,
659,,,1.0,,,,,,,
660,,,,,,,,,,
661,,,,,,,,,,
662,,,,,,,,,,
663,,,,,,,,,,
664,,,,,1.0,,,,1.0,1.0
665,,,,,,,,,,
666,,,,,,1.0,,,,
667,,,,,,,,,,
668,1.0,1.0,,,1.0,,,,1.0,
669,,1.0,,,1.0,,,,1.0,1.0
670,,,,,,,,,,
671,1.0,,1.0,,1.0,,1.0,,1.0,1.0
672,1.0,,,,1.0,,1.0,,,
673,,,,,,,,,1.0,
674,1.0,,1.0,,,1.0,,,1.0,
675,,,,,1.0,,,,1.0,
676,,,,,,,,,,
677,,,,,2.0,,,,1.0,
678,,,,,,,,,,
679,,,,,,,,,,
680,,,,,,,,,,
681,,,,,,,,,,
682,,,,,,,,,,
683,,,,,,,,,,
684,,,,,,,,,,
685,,2.0,,1.0,1.0,,,,1.0,1.0
686,,,,,,,,,,
687,,,,,,,,,,
688,,,,,,,,,,
689,,,,,,,,,,
690,,,,,,,,,,
691,,,,,,1.0,,,,
692,,,,,,1.0,,,,
693,,,,,,1.0,,,,
694,,,,,,1.0,,,,
695,,,,,1.0,,,,1.0,1.0
696,,,,,,,,,,
697,,,,,,1.0,,,,
698,,,,,,,,,,
699,,1.0,,,,,,,,
700,,,,1.0,1.0,,,,1.0,1.0
701,,,,,1.0,,,,,
702,,,,,,1.0,,,1.0,
703,,,,,,1.0,,,,
704,,,,,,1.0,,,,
705,,2.0,,1.0,,,,,,
706,1.0,,,,1.0,,1.0,,,
707,,,,,,,,,,
708,,,,,,,,,,
709,1.0,,1.0,,,,,,,
710,1.0,,1.0,,,,1.0,1.0,,
711,,,,,,,,,,
712,,,1.0,,,,,,,
713,1.0,,,,1.0,,,,,
714,,,,,,,,,,
715,,,,,1.0,,,,1.0,1.0
716,1.0,1.0,,,,1.0,,,,
717,,,,2.0,,,,,,
718,,,,,1.0,,,,1.0,1.0
719,,,,,1.0,,,,1.0,
720,1.0,,,,1.0,,,,2.0,
721,,1.0,,,,,,,,
722,1.0,,1.0,,,,,,1.0,
723,1.0,,1.0,,,,,,1.0,
724,1.0,,,,,,,,,
725,1.0,,,,,,,,,
726,1.0,,1.0,,,,,,,
727,,,,,1.0,,,,,
728,1.0,,,,,1.0,1.0,,,
729,1.0,,,,,,,,,
730,1.0,,,,,,,,,
731,,,,,,,,,,
732,1.0,,,,,,1.0,,,
733,,,,,,,,,,
734,,,,,,,,,,
735,1.0,1.0,,,,,,,,
736,,,,,,,,,,
737,1.0,,1.0,,,1.0,,,,
738,,,,,,,,,,
739,,1.0,,,,,,,,
740,,1.0,,,,,,,,
741,,,,,1.0,,,,,1.0
742,1.0,1.0,1.0,,,1.0,1.0,,,
743,,,,,1.0,,,,1.0,
744,,,,,,,,,,
745,1.0,1.0,1.0,,,1.0,1.0,,,
746,,,,,,,,,,
747,1.0,,1.0,,,1.0,1.0,,,
748,1.0,,1.0,,,1.0,1.0,,,
749,1.0,,1.0,,,1.0,1.0,,,
750,1.0,,1.0,,,1.0,1.0,,,
751,,,,,,,,,,
752,,,,,,,,,,
753,,,,,,,,,,
754,,,,,,,,,,
755,,,,,,,,,,
756,1.0,1.0,1.0,,,1.0,,,,
757,,,,,1.0,,,,,
758,,,,,1.0,,,,,
759,1.0,1.0,1.0,1.0,,1.0,,,,
760,1.0,1.0,1.0,1.0,,1.0,,,,
761,,,,,,,,,,
762,,1.0,,,,,,,,
763,1.0,,,,,,,,,
764,,,,,1.0,,,,,
765,,,,,1.0,,,,,
766,1.0,,,,,,,,,
767,,,1.0,,1.0,,,,,
768,,,1.0,,,,,,,
769,,,,,,,,,,
770,,,,,,,,,,
771,,,,,,,,,,
772,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
773,,,,,1.0,,,,1.0,
774,1.0,,,,,1.0,1.0,,,
775,,,,,1.0,1.0,,,,
776,1.0,,,,,,1.0,,,
777,,,,,,,,,,
778,,,,,,,,,,
779,1.0,1.0,,,1.0,,,,1.0,
780,1.0,1.0,,,1.0,,,,1.0,
781,1.0,1.0,,,1.0,,,,1.0,
782,1.0,1.0,,,1.0,,,,1.0,
