,title,publication,date,exclude,MWPS,MStopWPS,sentence_per_article,Burnet,Doherty,BlakelyThompson,mean_sent,title_word_count,title_stop_words,title_sent,title_fear,mean_title_sent
104, Experts weigh risk of double-dose freedoms:   Analysis," The Age; Melbourne, Vic."," Sep 10, 2021",0,23.96551724,8.344827586,29,,Doherty,,0.016484081,8,1,-1,1,-0.125
105, AMA says NSW reopening plan ignored warning in modelling," News.com.au; Sydney, N.S.W."," Sep 9, 2021",0,29.8125,10.75,16,Burnet,Doherty,,0.013018435,9,1,0,1,0
106, AMA says NSW reopening plan ignored warning in modelling," News.com.au; Sydney, N.S.W."," Sep 9, 2021",0,29.8125,10.75,16,Burnet,Doherty,,0.013018435,9,1,0,1,0
107, The Delta COVID outbreak has been less deadly than those last year due to vaccinations:   Data shows 153 people have died from COVID-19 during NSW's Delta outbreak — and many more are expected — but the number of deaths is far lower than last year., ABC Premium News; Sydney," Sep 9, 2021",0,25.48484848,7.96969697,33,Burnet,,,-0.034355593,48,16,-2,1,-0.041666667
108," Covid-19: Hold your nerve, Scott Morrison tells divided leaders"," The Australian (Online); Canberra, A.C.T."," Sep 9, 2021",0,40.94444444,13.16666667,18,,Doherty,,0.049760991,11,1,1,0,0.090909091
109, Good leadership is guiding the way out of pandemic," The Australian (Online); Canberra, A.C.T."," Sep 9, 2021",0,24.64444444,9.266666667,45,,Doherty,,0.038002249,9,4,-1,1,-0.111111111
110, Covid histrionics gone to the dogs," The Australian (Online); Canberra, A.C.T."," Sep 9, 2021",0,26.05084746,9.762711864,59,,Doherty,,0.00075971,6,2,0,0,0
111, Health stress warning over reopening plans, AAP General News Wire; Sydney," Sep 9, 2021",1,22.66666667,7.333333333,6,,Doherty,,0.061122357,6,1,-1,1,-0.166666667
112, XMAS QUARANTINE TO REMAIN ON THE CARDS," The Northern Territory News; Darwin, N.T."," Sep 9, 2021",0,26.05555556,8.444444444,18,,Doherty,,-0.002682516,7,0,0,0,0
113, LETTERS TO THE EDITOR," The Daily Telegraph; Surry Hills, N.S.W."," Sep 9, 2021",0,30.5625,11.3125,48,,Doherty,,9.82E-05,4,0,0,0,0
114, Latest figures suggest lockdown increasingly unlikely to end next week," The Canberra Times; Canberra, A.C.T."," Sep 9, 2021",0,24.73333333,9,45,,Doherty,,0.019814095,10,1,0,0,0
115, Latest figures suggest lockdown increasingly unlikely to end next week," The Canberra Times; Canberra, A.C.T."," Sep 9, 2021",0,24.73333333,9,45,,Doherty,,0.019814095,10,1,0,0,0
116, A lot must go right to get out of lockdown," Newcastle Herald; Newcastle, N.S.W."," Sep 9, 2021",0,24.1097561,8.512195122,82,,Doherty,,-0.007752448,10,3,0,0,0
117, What does code black mean for our hospitals?," Newcastle Herald; Newcastle, N.S.W."," Sep 9, 2021",0,30.41025641,9.974358974,39,Burnet,,,-0.001874321,9,3,-1,0,-0.111111111
118," Pubs, gyms poised to reopen next month:   Exclusive | First Orders"," Sydney Morning Herald; Sydney, N.S.W."," Sep 9, 2021",0,28.43243243,9.486486486,37,,Doherty,,0.023474655,13,1,0,0,0
119, ICU nurses warn NSW hospital system ‘in crisis’," Bay of Plenty Times; Tauranga, New Zealand"," Sep 8, 2021",0,28.2,10.13333333,15,Burnet,,,0.006709003,10,1,-2,2,-0.2
120, Nurses warn of Covid crisis," The New Zealand Herald; Auckland, New Zealand"," Sep 8, 2021",0,29.4,10.46666667,15,Burnet,,,0.005082986,5,1,-2,1,-0.4
121, ICU nurses warn NSW hospital system ‘in crisis’," The Northern Advocate; Whangarei, New Zealand"," Sep 8, 2021",0,28.2,10.13333333,15,Burnet,,,0.006709003,10,1,-2,2,-0.2
122, ICU nurses warn NSW hospital system ‘in crisis’," Hawkes Bay Today; Hastings, New Zealand"," Sep 8, 2021",0,28.2,10.13333333,15,Burnet,,,0.006709003,10,1,-2,2,-0.2
123, ICU nurses warn NSW hospital system ‘in crisis’," Wanganui Chronicle; Wanganui, New Zealand"," Sep 8, 2021",0,28.2,10.13333333,15,Burnet,,,0.006709003,10,1,-2,2,-0.2
124, ICU nurses warn NSW hospital system ‘in crisis’," The Daily Post; Rotorua, New Zealand"," Sep 8, 2021",0,28.2,10.13333333,15,Burnet,,,0.006709003,10,1,-2,2,-0.2
125, Victorian pub says it will let unvaccinated in once restrictions ease," News.com.au; Sydney, N.S.W."," Sep 8, 2021",1,27.89285714,11.21428571,28,,,,0.039529115,11,4,1,0,0.090909091
126," Israel is struggling with COVID-19, despite high vaccination rates. What lessons can Australia learn?:   With the majority of its adult population fully vaccinated, Israel lifted virtually all COVID-19 restrictions and life returned to normal. But now it has one of the highest infection rates in the world. What happened?", ABC Premium News; Sydney," Sep 8, 2021",0,28.64150943,8.905660377,53,,Doherty,,0.030980645,57,16,3,2,0.052631579
127, We have become the most divided country in the world," The Australian (Online); Canberra, A.C.T."," Sep 8, 2021",0,22.375,8.75,32,,,Thompson,0.023768057,10,5,0,0,0
128, Burnet Institute’s Brendan Crabb says NSW likely to stay in lockdown until Christmas," News.com.au; Sydney, N.S.W."," Sep 8, 2021",0,31.42857143,11,14,Burnet,,,0.051482295,15,4,0,0,0
129, 'Final touches' on NSW COVID-19 roadmap, AAP General News Wire; Sydney," Sep 8, 2021",1,32,10,3,,,,0.050207039,7,1,0,0,0
130, 'Final touches' on NSW COVID-19 roadmap, AAP Bulletin Wire; Sydney," Sep 8, 2021",0,24.18518519,8.074074074,27,Burnet,,,0.033470305,7,1,0,0,0
131, 'Final touches' on NSW COVID-19 roadmap, AAP General News Wire; Sydney," Sep 8, 2021",1,26.5,8.2,10,,,,0.022116205,7,1,0,0,0
132, 'Final touches' on NSW COVID-19 roadmap, AAP General News Wire; Sydney," Sep 8, 2021",1,26.4,8.2,10,,,,0.022701001,7,1,0,0,0
133, Return to pre-pandemic life will be slow and cautious: JPMorgan," The Australian; Canberra, A.C.T."," Sep 8, 2021",0,33.52173913,10.69565217,23,,Doherty,,0.027685125,11,4,1,1,0.090909091
134, Claim 5800 lives saved," The Daily Telegraph; Surry Hills, N.S.W."," Sep 8, 2021",0,30,11.33333333,3,Burnet,,,0.016569201,4,0,0,0,0
135, Have your say," The Advertiser; Adelaide, S. Aust."," Sep 8, 2021",0,19.77083333,6.708333333,48,,Doherty,,0.014148602,3,1,0,0,0
136, Claim 5800 lives saved," The Daily Telegraph; Surry Hills, N.S.W."," Sep 8, 2021",0,30,11.33333333,3,Burnet,,,0.016569201,4,0,0,0,0
137, Claim 5800 lives saved," The Daily Telegraph; Surry Hills, N.S.W."," Sep 8, 2021",0,30,11.33333333,3,Burnet,,,0.016569201,4,0,0,0,0
138, Return to pre-pandemic life will be slow and cautious: JPMorgan," The Australian; Canberra, A.C.T."," Sep 8, 2021",0,33.52173913,10.69565217,23,,Doherty,,0.027685125,11,4,1,1,0.090909091
139, NSW records 1480 new local COVID-19 cases, AAP Bulletin Wire; Sydney," Sep 8, 2021",0,25.375,8.4375,16,Burnet,,,0.023200224,7,0,0,0,0
140, NSW records 1480 new local COVID-19 cases, AAP General News Wire; Sydney," Sep 8, 2021",1,24.75,8.083333333,12,,,,0.013082819,7,0,0,0,0
141, Cabinet considering NSW regions' lockdown, AAP General News Wire; Sydney," Sep 8, 2021",1,27.14285714,9.714285714,7,,,,0.011487051,6,0,0,0,0
142, Pressure on NSW ICUs looms," Manawatu Standard; Palmerston North, New Zealand"," Sep 8, 2021",0,20.25,6.75,28,Burnet,,,-0.015233593,5,1,0,0,0
143, Pressure on NSW ICUs looms," The Press; Christchurch, New Zealand"," Sep 8, 2021",0,20.25,6.75,28,Burnet,,,-0.015233593,5,1,0,0,0
144, Pressure on NSW ICUs looms," The Marlborough Express; Blenheim, New Zealand"," Sep 8, 2021",0,20.25,6.75,28,Burnet,,,-0.015233593,5,1,0,0,0
