,fear,negative,sadness,positive,trust,surprise,anticipation,joy,anger,disgust
1501,6.0,16.0,10.0,58.0,35.0,12.0,30.0,24.0,2.0,2.0
1502,6.0,16.0,10.0,60.0,36.0,13.0,31.0,25.0,2.0,2.0
1503,10.0,7.0,2.0,31.0,16.0,8.0,21.0,6.0,2.0,
1504,10.0,7.0,2.0,31.0,16.0,8.0,21.0,6.0,2.0,
1505,11.0,18.0,8.0,29.0,18.0,3.0,9.0,4.0,2.0,2.0
1506,14.0,19.0,7.0,35.0,18.0,4.0,13.0,6.0,4.0,4.0
1507,23.0,33.0,7.0,23.0,15.0,3.0,13.0,5.0,5.0,3.0
1508,23.0,34.0,8.0,23.0,15.0,4.0,13.0,5.0,6.0,4.0
1509,59.0,82.0,45.0,56.0,32.0,17.0,36.0,13.0,21.0,19.0
1510,22.0,28.0,10.0,37.0,29.0,2.0,16.0,7.0,11.0,6.0
1511,24.0,30.0,11.0,39.0,29.0,2.0,17.0,7.0,11.0,6.0
1512,33.0,48.0,19.0,44.0,23.0,10.0,24.0,7.0,13.0,13.0
1513,8.0,10.0,5.0,24.0,12.0,2.0,7.0,3.0,4.0,3.0
1514,12.0,13.0,4.0,29.0,11.0,2.0,8.0,1.0,6.0,2.0
1515,18.0,19.0,6.0,28.0,19.0,3.0,17.0,8.0,4.0,2.0
1516,18.0,18.0,5.0,27.0,19.0,3.0,16.0,7.0,3.0,2.0
1517,13.0,17.0,9.0,18.0,22.0,9.0,11.0,7.0,14.0,2.0
1518,,2.0,2.0,1.0,,,1.0,,,
1519,15.0,15.0,8.0,25.0,13.0,3.0,6.0,3.0,2.0,2.0
1520,15.0,15.0,8.0,25.0,13.0,3.0,6.0,3.0,2.0,2.0
1521,2.0,4.0,2.0,4.0,5.0,,2.0,1.0,2.0,
1522,2.0,4.0,2.0,4.0,5.0,,2.0,1.0,2.0,
1523,2.0,4.0,2.0,4.0,5.0,,2.0,1.0,2.0,
1524,20.0,32.0,17.0,54.0,22.0,9.0,18.0,6.0,4.0,4.0
1525,20.0,32.0,17.0,54.0,22.0,9.0,18.0,6.0,4.0,4.0
1526,20.0,32.0,17.0,54.0,22.0,9.0,18.0,6.0,4.0,4.0
1527,20.0,32.0,17.0,54.0,22.0,9.0,18.0,6.0,4.0,4.0
1528,10.0,6.0,6.0,6.0,6.0,1.0,5.0,,2.0,
1529,7.0,13.0,6.0,16.0,18.0,3.0,18.0,4.0,,
1530,13.0,16.0,11.0,26.0,23.0,1.0,12.0,1.0,4.0,1.0
1531,15.0,24.0,15.0,24.0,22.0,7.0,12.0,2.0,5.0,2.0
1532,5.0,10.0,8.0,12.0,7.0,1.0,7.0,1.0,4.0,2.0
1533,17.0,29.0,12.0,30.0,17.0,6.0,20.0,6.0,2.0,4.0
1534,13.0,20.0,12.0,18.0,6.0,1.0,10.0,1.0,3.0,2.0
1535,16.0,20.0,15.0,25.0,17.0,5.0,16.0,4.0,11.0,7.0
1536,14.0,18.0,13.0,21.0,15.0,5.0,13.0,4.0,9.0,6.0
1537,6.0,7.0,5.0,18.0,9.0,1.0,6.0,2.0,3.0,1.0
1538,9.0,14.0,10.0,20.0,9.0,1.0,12.0,1.0,,1.0
1539,18.0,36.0,14.0,60.0,37.0,13.0,29.0,9.0,9.0,6.0
1540,16.0,30.0,8.0,33.0,8.0,2.0,21.0,3.0,8.0,3.0
1541,12.0,16.0,6.0,10.0,6.0,3.0,8.0,3.0,7.0,2.0
1542,12.0,16.0,6.0,10.0,6.0,3.0,8.0,3.0,7.0,2.0
1543,8.0,8.0,5.0,15.0,10.0,,4.0,,2.0,
1544,32.0,52.0,28.0,63.0,25.0,13.0,25.0,14.0,12.0,13.0
1545,9.0,16.0,9.0,22.0,10.0,2.0,13.0,2.0,6.0,4.0
1546,7.0,9.0,2.0,4.0,6.0,2.0,6.0,,3.0,1.0
1547,7.0,9.0,2.0,4.0,6.0,2.0,6.0,,3.0,1.0
1548,7.0,9.0,2.0,4.0,6.0,2.0,6.0,,3.0,1.0
1549,8.0,12.0,4.0,21.0,15.0,1.0,10.0,2.0,2.0,1.0
1550,8.0,12.0,4.0,21.0,15.0,1.0,10.0,2.0,2.0,1.0
1551,8.0,12.0,4.0,21.0,15.0,1.0,10.0,2.0,2.0,1.0
1552,8.0,12.0,4.0,21.0,15.0,1.0,10.0,2.0,2.0,1.0
