,title,publication,date,exclude,MWPS,MStopWPS,sentence_per_article,Burnet,Doherty,BlakelyThompson,text_sentiment,title_word_count,title_stop_words,title_sent,title_fear,mean_title_sent
115, Latest figures suggest lockdown increasingly unlikely to end next week," The Canberra Times; Canberra, A.C.T."," Sep 9, 2021",0,24.73333333,9,45,,Doherty,,0.016296963,10,1,0,0,0
116, A lot must go right to get out of lockdown," Newcastle Herald; Newcastle, N.S.W."," Sep 9, 2021",0,24.1097561,8.512195122,82,,Doherty,,-0.001123404,10,3,0,0,0
117, What does code black mean for our hospitals?," Newcastle Herald; Newcastle, N.S.W."," Sep 9, 2021",0,30.41025641,9.974358974,39,Burnet,,,0.012578495,9,3,-1,1,-0.166666667
118," Pubs, gyms poised to reopen next month:   Exclusive | First Orders"," Sydney Morning Herald; Sydney, N.S.W."," Sep 9, 2021",0,28.43243243,9.486486486,37,,Doherty,,0.053069387,13,1,0,0,0
119, ICU nurses warn NSW hospital system ‘in crisis’," Bay of Plenty Times; Tauranga, New Zealand"," Sep 8, 2021",0,28.2,10.13333333,15,Burnet,,,0.037517875,10,1,-1,2,-0.111111111
120, Nurses warn of Covid crisis," The New Zealand Herald; Auckland, New Zealand"," Sep 8, 2021",0,29.4,10.46666667,15,Burnet,,,0.034381986,5,1,-2,1,-0.5
121, ICU nurses warn NSW hospital system ‘in crisis’," The Northern Advocate; Whangarei, New Zealand"," Sep 8, 2021",0,28.2,10.13333333,15,Burnet,,,0.037517875,10,1,-1,2,-0.111111111
122, ICU nurses warn NSW hospital system ‘in crisis’," Hawkes Bay Today; Hastings, New Zealand"," Sep 8, 2021",0,28.2,10.13333333,15,Burnet,,,0.037517875,10,1,-1,2,-0.111111111
123, ICU nurses warn NSW hospital system ‘in crisis’," Wanganui Chronicle; Wanganui, New Zealand"," Sep 8, 2021",0,28.2,10.13333333,15,Burnet,,,0.037517875,10,1,-1,2,-0.111111111
124, ICU nurses warn NSW hospital system ‘in crisis’," The Daily Post; Rotorua, New Zealand"," Sep 8, 2021",0,28.2,10.13333333,15,Burnet,,,0.037517875,10,1,-1,2,-0.111111111
125, Victorian pub says it will let unvaccinated in once restrictions ease," News.com.au; Sydney, N.S.W."," Sep 8, 2021",1,27.89285714,11.21428571,28,,,,0.042442503,11,4,0,1,0
126," Israel is struggling with COVID-19, despite high vaccination rates. What lessons can Australia learn?:   With the majority of its adult population fully vaccinated, Israel lifted virtually all COVID-19 restrictions and life returned to normal. But now it has one of the highest infection rates in the world. What happened?", ABC Premium News; Sydney," Sep 8, 2021",0,28.64150943,8.905660377,53,,Doherty,,0.037463878,57,16,2,3,0.048780488
127, We have become the most divided country in the world," The Australian (Online); Canberra, A.C.T."," Sep 8, 2021",0,22.375,8.75,32,,,Thompson,0.035790945,10,5,0,0,0
128, Burnet Institute’s Brendan Crabb says NSW likely to stay in lockdown until Christmas," News.com.au; Sydney, N.S.W."," Sep 8, 2021",0,31.42857143,11,14,Burnet,,,0.047380555,15,4,0,0,0
129, 'Final touches' on NSW COVID-19 roadmap, AAP General News Wire; Sydney," Sep 8, 2021",1,32,10,3,,,,0.085921325,7,1,0,0,0
130, 'Final touches' on NSW COVID-19 roadmap, AAP Bulletin Wire; Sydney," Sep 8, 2021",0,24.18518519,8.074074074,27,Burnet,,,0.058445265,7,1,0,0,0
131, 'Final touches' on NSW COVID-19 roadmap, AAP General News Wire; Sydney," Sep 8, 2021",1,26.5,8.2,10,,,,0.056744443,7,1,0,0,0
132, 'Final touches' on NSW COVID-19 roadmap, AAP General News Wire; Sydney," Sep 8, 2021",1,26.4,8.2,10,,,,0.057621636,7,1,0,0,0
133, Return to pre-pandemic life will be slow and cautious: JPMorgan," The Australian; Canberra, A.C.T."," Sep 8, 2021",0,33.52173913,10.69565217,23,,Doherty,,0.040898295,11,4,1,1,0.142857143
134, Claim 5800 lives saved," The Daily Telegraph; Surry Hills, N.S.W."," Sep 8, 2021",0,30,11.33333333,3,Burnet,,,-0.073099415,4,0,1,0,0.25
135, Have your say," The Advertiser; Adelaide, S. Aust."," Sep 8, 2021",0,19.77083333,6.708333333,48,,Doherty,,0.008048388,3,1,0,0,0
136, Claim 5800 lives saved," The Daily Telegraph; Surry Hills, N.S.W."," Sep 8, 2021",0,30,11.33333333,3,Burnet,,,-0.073099415,4,0,1,0,0.25
137, Claim 5800 lives saved," The Daily Telegraph; Surry Hills, N.S.W."," Sep 8, 2021",0,30,11.33333333,3,Burnet,,,-0.073099415,4,0,1,0,0.25
138, Return to pre-pandemic life will be slow and cautious: JPMorgan," The Australian; Canberra, A.C.T."," Sep 8, 2021",0,33.52173913,10.69565217,23,,Doherty,,0.040898295,11,4,1,1,0.142857143
139, NSW records 1480 new local COVID-19 cases, AAP Bulletin Wire; Sydney," Sep 8, 2021",0,25.375,8.4375,16,Burnet,,,0.023955545,7,0,0,0,0
140, NSW records 1480 new local COVID-19 cases, AAP General News Wire; Sydney," Sep 8, 2021",1,24.75,8.083333333,12,,,,0.021846046,7,0,0,0,0
141, Cabinet considering NSW regions' lockdown, AAP General News Wire; Sydney," Sep 8, 2021",1,27.14285714,9.714285714,7,,,,0.024053189,6,0,0,0,0
142, Pressure on NSW ICUs looms," Manawatu Standard; Palmerston North, New Zealand"," Sep 8, 2021",0,20.25,6.75,28,Burnet,,,0.020677665,5,1,-1,1,-0.25
