,title,publication,date,exclude,MWPS,MStopWPS,sentence_per_article,Burnet,Doherty,BlakelyThompson
1437, Push now to let virus infect all," The Australian; Canberra, A.C.T."," Apr 8, 2020",0.0,33.94117647058823,12.617647058823529,34.0,,Doherty,
1438, Easter warning to stay at home," The Advertiser; Adelaide, S. Aust."," Apr 8, 2020",0.0,25.35,8.8,20.0,,Doherty,
1439, 'Don't undo good work'," The Gold Coast Bulletin; Southport, Qld."," Apr 8, 2020",0.0,35.23076923076923,10.923076923076923,13.0,,Doherty,
1440, COVID-19 case count remains unchanged," The Gympie Times; Gympie, Qld."," Apr 8, 2020",0.0,21.285714285714285,6.714285714285714,14.0,,Doherty,
1441," Relaxing curbs risks 'explosive' outbreak, say experts"," Sydney Morning Herald; Sydney, N.S.W."," Apr 8, 2020",0.0,32.333333333333336,11.458333333333334,24.0,,Doherty,
1442, 'Explosive resurgence' if virus curbs relaxed," The Age; Melbourne, Vic."," Apr 8, 2020",0.0,32.68181818181818,11.5,22.0,,Doherty,
1443," Scott Morrison warns Australians to stay home for Easter or risk coronavirus 'horror scenarios':   The comments came as the Federal Government prepares to release the details of its coronavirus modelling, which the Prime Minister insists is ""theoretical"" and not based on Australian cases of the virus.", ABC Premium News; Sydney," Apr 7, 2020",0.0,21.387096774193548,6.483870967741935,31.0,,Doherty,
1444," Coronavirus data modelling has Australia in good position, but COVID-19 'here to stay':   The experts behind some of the modelling used to determine Australia's coronavirus response say the country is in a ""lucky"" position, but warn the virus will remain part of everyday life.", ABC Premium News; Sydney," Apr 7, 2020",0.0,23.0,7.560975609756097,41.0,,Doherty,
1445, Virus measures vital over Easter weekend, AAP General News Wire; Sydney," Apr 7, 2020",1.0,22.8,8.0,10.0,,,
1446, Australia dodges worst-case virus scenario, AAP General News Wire; Sydney," Apr 7, 2020",0.0,20.866666666666667,7.4,15.0,,Doherty,
1447," Coronavirus update: China reports no new deaths, Australian toll hits 48, Boris Johnson in intensive care:   Residents in the original coronavirus epicentre of Wuhan will be able to leave the city tomorrow for the first time since the outbreak began, Australia's death toll reaches 48, and New York is showing signs of flattening its curve.", ABC Premium News; Sydney," Apr 6, 2020",0.0,30.818181818181817,10.045454545454545,22.0,,,
1448, Why we invest in medical research," The Canberra Times; Canberra, A.C.T."," Apr 5, 2020",0.0,27.037037037037038,10.74074074074074,27.0,,Doherty,
1449, Diabolical dilemma looms even after the curve is flattened:   THE CURVE," Sunday Age; Melbourne, Vic."," Apr 5, 2020",0.0,19.657894736842106,6.078947368421052,38.0,,,Blakely
1450, Terrible choice looms even if curve flattens," Sun Herald; Sydney, N.S.W."," Apr 5, 2020",0.0,17.896551724137932,5.172413793103448,29.0,,,Blakely
1451, Doing all we can ‘needs to be our priority’," The Daily Mercury; Mackay, Qld."," Apr 4, 2020",0.0,23.923076923076923,10.846153846153847,13.0,,,Thompson
1452, Lucky country must decide: what's our least-worst option?," Sydney Morning Herald; Sydney, N.S.W."," Apr 4, 2020",0.0,22.15,8.675,40.0,,,Blakely
1453, Facing Facts," The Age; Melbourne, Vic."," Apr 4, 2020",0.0,28.52777777777778,10.222222222222221,108.0,,,Thompson
1454, Free childcare won't help parents worried by risk," Sydney Morning Herald; Sydney, N.S.W."," Apr 4, 2020",0.0,21.34426229508197,7.180327868852459,61.0,,,Thompson
1455, The virus puzzle," Sydney Morning Herald; Sydney, N.S.W."," Apr 4, 2020",0.0,23.669291338582678,8.236220472440944,127.0,,,Thompson
1456, People v virus: knowledge is power," The Age; Melbourne, Vic."," Apr 3, 2020",0.0,20.707865168539325,7.51685393258427,89.0,,Doherty,
